                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97601,                0.77171,                 1.3377,                0.84996,                0.81961,                0.86741,                 0.5645,                0.87848,                0.54543,                 1.2387,             0.00031506,             0.00031506,             0.00031506
                     35,                0.97041,                0.76915,                 1.3372,                  0.849,                0.82267,                0.86595,                0.56733,                0.87642,                0.54063,                 1.2336,             0.00029706,             0.00029706,             0.00029706
                     36,                0.96745,                0.75543,                 1.3295,                0.83095,                0.82926,                0.86417,                0.56745,                0.86968,                0.53792,                  1.229,             0.00027906,             0.00027906,             0.00027906
                     37,                0.96005,                0.74668,                 1.3297,                0.84542,                0.82705,                0.86749,                0.56779,                0.87578,                 0.5319,                 1.2324,             0.00026106,             0.00026106,             0.00026106
                     38,                0.94207,                0.73939,                 1.3126,                0.84404,                0.82276,                0.86639,                0.56892,                0.87153,                0.54347,                 1.2302,             0.00024307,             0.00024307,             0.00024307
                     39,                0.93957,                0.72369,                 1.3059,                0.85989,                0.81975,                0.86927,                0.56773,                0.87379,                0.53471,                  1.232,             0.00022507,             0.00022507,             0.00022507
                     40,                0.92976,                0.58935,                 1.2557,                 0.8542,                0.82915,                0.87029,                0.57047,                0.87166,                0.52561,                 1.2329,             0.00020707,             0.00020707,             0.00020707
                     41,                 0.9226,                0.57947,                 1.2471,                0.85706,                0.82368,                0.87236,                0.57128,                0.86383,                0.51917,                 1.2251,             0.00018907,             0.00018907,             0.00018907
                     42,                0.91069,                0.56141,                 1.2392,                 0.8672,                0.82088,                0.87241,                0.57633,                0.86297,                 0.5215,                 1.2299,             0.00017107,             0.00017107,             0.00017107
                     43,                0.90581,                0.55639,                 1.2345,                0.84805,                0.82454,                0.86705,                0.57501,                0.86808,                 0.5221,                 1.2317,             0.00015308,             0.00015308,             0.00015308
                     44,                0.89663,                0.54822,                 1.2258,                0.85053,                0.82524,                0.86944,                0.57607,                0.85963,                0.51937,                 1.2233,             0.00013508,             0.00013508,             0.00013508
                     45,                0.88024,                0.53374,                 1.2161,                0.85943,                0.81757,                0.86572,                0.57819,                0.85365,                 0.5142,                  1.218,             0.00011708,             0.00011708,             0.00011708
                     46,                0.87697,                0.52933,                 1.2104,                0.85372,                0.82393,                 0.8639,                0.57483,                0.85449,                0.52206,                 1.2185,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.87388,                0.52267,                 1.2062,                0.86437,                0.82162,                0.86698,                0.57709,                0.85472,                0.51996,                 1.2192,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.86331,                0.51719,                 1.2019,                0.85825,                0.83057,                0.86805,                0.57698,                0.85882,                0.51687,                  1.223,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.85461,                 0.5068,                 1.1907,                0.85134,                0.83281,                0.86835,                0.57767,                0.85756,                0.51284,                 1.2232,             4.5086e-05,             4.5086e-05,             4.5086e-05
